# Sanctum · derived geography confidence table — DO NOT EDIT BY HAND
# regenerate with: tools/geo_classify.py --state CA
# generated 2026-09-02 · state CA · 1653 names
# source: US Census Bureau Gazetteer (public domain)
#   2025_Gaz_counties_national.txt
#   2025_Gaz_place_national.txt
# frequency signal: wordfreq
#
#   A  unique to this state      match on the name alone
#   B  shared with 2-3 states    require corroboration nearby
#   C  shared with 4+ states, or a common English word — never alone
#
#   A 1085   B 280   C 288
#
# LIMIT: the places file has no county column, so this covers the whole
# state. Narrowing to a sub-state AOR needs the Census place-to-county
# relationship file.
#
# name|kind|bucket|states|reason
acalanes ridge|place|A|1|
acampo|place|A|1|
acton|place|B|2|shares its name with 2 states
adelanto|place|A|1|
adin|place|A|1|
agoura hills|place|A|1|
agua dulce|place|B|2|shares its name with 2 states
aguanga|place|A|1|
ahwahnee|place|A|1|
airport|place|C|1|common English word, zipf 4.84
alameda|county|A|1|
alameda|place|A|1|
alamo|place|C|8|shares its name with 8 states
albany|place|C|16|shares its name with 16 states
albion|place|C|11|shares its name with 11 states
alderpoint|place|A|1|
alhambra|place|B|2|shares its name with 2 states
alhambra valley|place|A|1|
aliso viejo|place|A|1|
alleghany|place|B|3|shares its name with 3 states
allendale|place|C|6|shares its name with 6 states
allensworth|place|A|1|
almanor|place|A|1|
alondra park|place|A|1|
alpaugh|place|A|1|
alpine|county|A|1|
alpine|place|C|9|shares its name with 9 states
alpine village|place|A|1|
alta|place|C|4|shares its name with 4 states
alta sierra|place|A|1|
altadena|place|A|1|
alto|place|C|4|shares its name with 4 states
alturas|place|B|2|shares its name with 2 states
alum rock|place|A|1|
amador|county|A|1|
amador city|place|A|1|
amador pines|place|A|1|
american canyon|place|A|1|
amesti|place|A|1|
anaheim|place|A|1|
anchor bay|place|A|1|
anderson|place|C|13|common English word, zipf 4.36
angels|place|C|1|common English word, zipf 4.26
angwin|place|A|1|
antelope|place|C|5|shares its name with 5 states
antioch|place|C|5|shares its name with 5 states
anza|place|A|1|
apple valley|place|C|5|shares its name with 5 states
aptos|place|A|1|
aptos hills-larkin valley|place|A|1|
arbuckle|place|A|1|
arcadia|place|C|13|shares its name with 13 states
arcata|place|A|1|
arden-arcade|place|A|1|
armona|place|A|1|
arnold|place|C|5|common English word, zipf 4.00
aromas|place|A|1|
arroyo grande|place|A|1|
artesia|place|B|3|shares its name with 3 states
artois|place|A|1|
arvin|place|A|1|
ashland|place|C|19|shares its name with 19 states
aspen springs|place|A|1|
atascadero|place|A|1|
atherton|place|A|1|
atwater|place|B|3|shares its name with 3 states
auberry|place|A|1|
auburn|place|C|18|shares its name with 18 states
auburn lake trails|place|A|1|
august|place|C|1|common English word, zipf 5.10
avalon|place|C|6|shares its name with 6 states
avenal|place|A|1|
avery|place|B|3|shares its name with 3 states
avila beach|place|A|1|
avocado heights|place|A|1|
azusa|place|A|1|
baker|place|C|10|common English word, zipf 4.23
bakersfield|place|B|3|shares its name with 3 states
bakersfield country club|place|A|1|
baldwin park|place|B|2|shares its name with 2 states
ballard|place|B|3|shares its name with 3 states
ballico|place|A|1|
bangor|place|C|5|shares its name with 5 states
banning|place|A|1|
barstow|place|C|4|shares its name with 4 states
bass lake|place|B|3|shares its name with 3 states
bay point|place|A|1|
bayview|place|B|3|shares its name with 3 states
baywood park|place|A|1|
beale afb|place|A|1|
bear creek|place|C|6|shares its name with 6 states
bear valley|place|A|1|
bear valley springs|place|A|1|
beaumont|place|C|4|shares its name with 4 states
beckwourth|place|A|1|
belden|place|B|2|shares its name with 2 states
bell|place|C|5|common English word, zipf 4.59
bell canyon|place|A|1|
bell gardens|place|A|1|
bella vista|place|B|2|shares its name with 2 states
bellflower|place|B|3|shares its name with 3 states
belmont|place|C|12|shares its name with 12 states
belvedere|place|B|2|shares its name with 2 states
ben lomond|place|B|2|shares its name with 2 states
benbow|place|A|1|
bend|place|C|2|common English word, zipf 4.13
benicia|place|A|1|
benton|place|C|17|shares its name with 17 states
benton park|place|A|1|
berkeley|place|C|5|shares its name with 5 states
bermuda dunes|place|A|1|
berry creek|place|A|1|
bertsch-oceanview|place|A|1|
bethel island|place|A|1|
beverly hills|place|C|5|shares its name with 5 states
bieber|place|A|1|
big bear city|place|A|1|
big bear lake|place|A|1|
big bend|place|B|2|shares its name with 2 states
big creek|place|B|3|shares its name with 3 states
big lagoon|place|A|1|
big pine|place|A|1|
big river|place|A|1|
biggs|place|A|1|
biola|place|A|1|
bishop|place|C|3|common English word, zipf 4.38
black point-green point|place|A|1|
blackhawk|place|B|2|shares its name with 2 states
blacklake|place|A|1|
blairsden|place|A|1|
bloomfield|place|C|12|shares its name with 12 states
bloomington|place|C|9|shares its name with 9 states
blue lake|place|A|1|
bluewater|place|B|3|shares its name with 3 states
blythe|place|B|2|shares its name with 2 states
bodega|place|A|1|
bodega bay|place|A|1|
bodfish|place|A|1|
bolinas|place|A|1|
bombay beach|place|A|1|
bonadelle ranchos|place|A|1|
bonita|place|B|2|shares its name with 2 states
bonny doon|place|A|1|
bonsall|place|A|1|
boonville|place|C|5|shares its name with 5 states
bootjack|place|A|1|
boron|place|A|1|
boronda|place|A|1|
borrego springs|place|A|1|
bostonia|place|A|1|
boulder creek|place|A|1|
boulevard|place|A|1|
bowles|place|A|1|
boyes hot springs|place|A|1|
bradbury|place|A|1|
bradley|place|C|9|common English word, zipf 4.01
brawley|place|A|1|
brea|place|A|1|
brentwood|place|C|6|shares its name with 6 states
bret harte|place|A|1|
bridgeport|place|C|15|shares its name with 15 states
brisbane|place|A|1|
broadmoor|place|A|1|
brookdale|place|B|3|shares its name with 3 states
brooks|place|C|7|common English word, zipf 4.04
brooktrails|place|A|1|
buck meadows|place|A|1|
buckhorn|place|C|4|shares its name with 4 states
bucks lake|place|A|1|
buellton|place|A|1|
buena park|place|A|1|
buena vista|place|C|9|shares its name with 9 states
burbank|place|C|6|shares its name with 6 states
burlingame|place|B|2|shares its name with 2 states
burney|place|B|2|shares its name with 2 states
burnt ranch|place|A|1|
butte|county|B|3|shares its name with 3 counties
butte creek canyon|place|A|1|
butte meadows|place|A|1|
butte valley|place|A|1|
buttonwillow|place|A|1|
byron|place|C|8|shares its name with 8 states
bystrom|place|A|1|
c-road|place|C|1|common English word, zipf 4.98
cabazon|place|A|1|
calabasas|place|A|1|
calaveras|county|A|1|
calexico|place|A|1|
california city|place|A|1|
california hot springs|place|A|1|
california pines|place|A|1|
california polytechnic state university|place|A|1|
calimesa|place|A|1|
calipatria|place|A|1|
calistoga|place|A|1|
callender|place|B|2|shares its name with 2 states
calpella|place|A|1|
calpine|place|A|1|
calwa|place|A|1|
camanche north shore|place|A|1|
camanche village|place|A|1|
camarillo|place|A|1|
cambria|place|C|5|shares its name with 5 states
cambrian park|place|A|1|
cameron park|place|B|2|shares its name with 2 states
camino|place|A|1|
camino tassajara|place|A|1|
camp nelson|place|A|1|
camp pendleton mainside|place|A|1|
camp pendleton south|place|A|1|
campbell|place|C|13|common English word, zipf 4.23
campo|place|B|2|shares its name with 2 states
campo seco|place|A|1|
camptonville|place|A|1|
canby|place|B|3|shares its name with 3 states
cantua creek|place|A|1|
canyon lake|place|B|2|shares its name with 2 states
canyondam|place|A|1|
capitola|place|B|2|shares its name with 2 states
caribou|place|B|3|shares its name with 3 states
carlsbad|place|B|3|shares its name with 3 states
carmel valley village|place|A|1|
carmel-by-the-sea|place|A|1|
carmet|place|A|1|
carmichael|place|A|1|
carnelian bay|place|A|1|
carpinteria|place|A|1|
carrick|place|A|1|
carson|place|C|6|shares its name with 6 states
cartago|place|A|1|
caruthers|place|A|1|
casa conejo|place|A|1|
casa loma|place|A|1|
casa de oro-mount helix|place|A|1|
casmalia|place|A|1|
caspar|place|A|1|
cassel|place|A|1|
castaic|place|A|1|
castella|place|A|1|
castle hill|place|A|1|
castro valley|place|A|1|
castroville|place|B|2|shares its name with 2 states
cathedral city|place|A|1|
catheys valley|place|A|1|
cayucos|place|A|1|
cazadero|place|A|1|
cedar flat|place|A|1|
cedar ridge|place|A|1|
cedar slope|place|A|1|
cedarville|place|C|6|shares its name with 6 states
centerville|place|C|19|shares its name with 19 states
ceres|place|A|1|
cerritos|place|A|1|
chalfant|place|B|2|shares its name with 2 states
challenge-brownsville|place|A|1|
channel islands beach|place|A|1|
charleston view|place|A|1|
charter oak|place|B|2|shares its name with 2 states
cherokee|place|C|9|shares its name with 9 states
cherokee strip|place|A|1|
cherry valley|place|C|5|shares its name with 5 states
cherryland|place|A|1|
chester|place|C|20|shares its name with 20 states
chico|place|B|3|shares its name with 3 states
chilcoot-vinton|place|A|1|
china lake acres|place|A|1|
chinese camp|place|A|1|
chino|place|A|1|
chino hills|place|A|1|
choctaw valley|place|A|1|
chowchilla|place|A|1|
chualar|place|A|1|
chula vista|place|B|2|shares its name with 2 states
citrus|place|B|2|shares its name with 2 states
citrus heights|place|A|1|
claremont|place|C|7|shares its name with 7 states
clarksburg|place|C|7|shares its name with 7 states
clay|place|C|20|common English word, zipf 4.29
clayton|place|C|20|shares its name with 20 states
clear creek|place|B|3|shares its name with 3 states
clearlake|place|A|1|
clearlake oaks|place|A|1|
clearlake riviera|place|A|1|
cleone|place|A|1|
clio|place|C|5|shares its name with 5 states
clipper mills|place|A|1|
cloverdale|place|C|6|shares its name with 6 states
clovis|place|B|2|shares its name with 2 states
clyde|place|C|8|shares its name with 8 states
coachella|place|A|1|
coalinga|place|A|1|
coarsegold|place|A|1|
cobb|place|B|3|shares its name with 3 states
coffee creek|place|B|2|shares its name with 2 states
cohasset|place|B|2|shares its name with 2 states
cold springs|place|B|2|shares its name with 2 states
coleville|place|A|1|
colfax|place|C|10|shares its name with 10 states
college city|place|A|1|
collierville|place|B|2|shares its name with 2 states
colma|place|A|1|
coloma|place|B|3|shares its name with 3 states
colton|place|C|4|shares its name with 4 states
columbia|place|C|22|common English word, zipf 4.40
colusa|county|A|1|
colusa|place|A|1|
commerce|place|C|5|common English word, zipf 4.37
comptche|place|A|1|
compton|place|B|2|shares its name with 2 states
concord|place|C|13|shares its name with 13 states
concow|place|A|1|
contra costa|county|A|1|
contra costa centre|place|A|1|
copperopolis|place|A|1|
corcoran|place|B|2|shares its name with 2 states
corning|place|C|7|shares its name with 7 states
corona|place|B|3|shares its name with 3 states
coronado|place|A|1|
coronita|place|A|1|
corralitos|place|A|1|
corte madera|place|A|1|
costa mesa|place|A|1|
cotati|place|A|1|
coto de caza|place|A|1|
cottonwood|place|C|8|shares its name with 8 states
coulterville|place|B|2|shares its name with 2 states
country club|place|B|3|shares its name with 3 states
courtland|place|C|6|shares its name with 6 states
covelo|place|A|1|
covina|place|A|1|
cowan|place|B|3|shares its name with 3 states
crescent city|place|B|3|shares its name with 3 states
crescent mills|place|A|1|
cressey|place|A|1|
crest|place|A|1|
crestline|place|B|3|shares its name with 3 states
creston|place|C|6|shares its name with 6 states
crockett|place|B|3|shares its name with 3 states
cromberg|place|A|1|
crowley lake|place|A|1|
crows landing|place|A|1|
cudahy|place|B|2|shares its name with 2 states
culver city|place|A|1|
cupertino|place|A|1|
cutler|place|B|3|shares its name with 3 states
cutten|place|A|1|
cuyama|place|A|1|
cypress|place|B|2|shares its name with 2 states
dales|place|A|1|
daly city|place|A|1|
dana point|place|A|1|
danville|place|C|16|shares its name with 16 states
daphnedale park|place|A|1|
darwin|place|B|2|shares its name with 2 states
davenport|place|C|7|shares its name with 7 states
davis|place|C|8|common English word, zipf 4.49
day valley|place|A|1|
deer park|place|C|9|shares its name with 9 states
del aire|place|A|1|
del dios|place|A|1|
del mar|place|A|1|
del monte forest|place|A|1|
del norte|county|A|1|
del rey|place|A|1|
del rey oaks|place|A|1|
del rio|place|B|2|shares its name with 2 states
delano|place|C|4|shares its name with 4 states
delft colony|place|A|1|
delhi|place|C|5|common English word, zipf 4.29
delleker|place|A|1|
denair|place|A|1|
derby acres|place|A|1|
descanso|place|A|1|
desert center|place|A|1|
desert edge|place|A|1|
desert hot springs|place|A|1|
desert palms|place|A|1|
desert shores|place|A|1|
desert view highlands|place|A|1|
di giorgio|place|A|1|
diablo|place|A|1|
diablo grande|place|A|1|
diamond bar|place|A|1|
diamond springs|place|A|1|
dillon beach|place|A|1|
dinuba|place|A|1|
discovery bay|place|A|1|
dixon|place|C|9|shares its name with 9 states
dixon lane-meadowcreek|place|A|1|
dobbins|place|A|1|
dogtown|place|A|1|
dollar point|place|A|1|
dorrington|place|A|1|
dorris|place|A|1|
dos palos|place|A|1|
dos palos y|place|A|1|
douglas city|place|A|1|
douglas flat|place|A|1|
downey|place|B|3|shares its name with 3 states
downieville|place|A|1|
doyle|place|B|2|shares its name with 2 states
drytown|place|A|1|
duarte|place|A|1|
dublin|place|C|9|common English word, zipf 4.08
ducor|place|A|1|
dunnigan|place|A|1|
dunsmuir|place|A|1|
durham|place|C|7|shares its name with 7 states
dustin acres|place|A|1|
dutch flat|place|A|1|
eagleville|place|C|4|shares its name with 4 states
earlimart|place|A|1|
east bakersfield|place|A|1|
east foothills|place|A|1|
east hemet|place|A|1|
east los angeles|place|A|1|
east nicolaus|place|A|1|
east niles|place|A|1|
east oakdale|place|A|1|
east orosi|place|A|1|
east palo alto|place|A|1|
east pasadena|place|A|1|
east porterville|place|A|1|
east quincy|place|A|1|
east rancho dominguez|place|A|1|
east richmond heights|place|A|1|
east san gabriel|place|A|1|
east shore|place|A|1|
east sonora|place|A|1|
east tulare villa|place|A|1|
east whittier|place|A|1|
eastern goleta valley|place|A|1|
easton|place|C|10|shares its name with 10 states
eastvale|place|B|2|shares its name with 2 states
edgewood|place|C|12|shares its name with 12 states
edison|place|C|5|shares its name with 5 states
edmundson acres|place|A|1|
edna|place|B|3|shares its name with 3 states
edwards afb|place|A|1|
el adobe|place|A|1|
el cajon|place|A|1|
el centro|place|A|1|
el centro naval air facility|place|A|1|
el cerrito|place|A|1|
el dorado|county|A|1|
el dorado hills|place|A|1|
el granada|place|A|1|
el macero|place|A|1|
el modena|place|A|1|
el monte|place|A|1|
el monte mobile village|place|A|1|
el nido|place|A|1|
el paso de robles (paso robles)|place|A|1|
el portal|place|B|2|shares its name with 2 states
el rancho|place|B|3|shares its name with 3 states
el rio|place|A|1|
el segundo|place|A|1|
el sobrante|place|A|1|
el verano|place|A|1|
eldridge|place|B|3|shares its name with 3 states
elfin forest|place|A|1|
elizabeth lake|place|A|1|
elk creek|place|B|3|shares its name with 3 states
elk grove|place|B|2|shares its name with 2 states
elkhorn|place|B|3|shares its name with 3 states
elmira|place|C|4|shares its name with 4 states
elverta|place|A|1|
emerald lake hills|place|A|1|
emeryville|place|A|1|
empire|place|C|8|common English word, zipf 4.54
encinitas|place|A|1|
escalon|place|A|1|
escondido|place|A|1|
esparto|place|A|1|
etna|place|C|4|shares its name with 4 states
eucalyptus hills|place|A|1|
eureka|place|C|12|shares its name with 12 states
exeter|place|C|6|shares its name with 6 states
fair oaks|place|C|7|shares its name with 7 states
fairbanks ranch|place|A|1|
fairfax|place|C|10|shares its name with 10 states
fairfield|place|C|19|shares its name with 19 states
fairhaven|place|B|2|shares its name with 2 states
fairmead|place|A|1|
fairview|place|C|24|shares its name with 24 states
fall river mills|place|A|1|
fallbrook|place|A|1|
farmersville|place|C|5|shares its name with 5 states
farmington|place|C|18|shares its name with 18 states
fellows|place|A|1|
felton|place|C|4|shares its name with 4 states
ferndale|place|C|6|shares its name with 6 states
fetters hot springs-agua caliente|place|A|1|
fiddletown|place|A|1|
fieldbrook|place|A|1|
fields landing|place|A|1|
fillmore|place|C|8|shares its name with 8 states
firebaugh|place|A|1|
fish camp|place|A|1|
florence-graham|place|A|1|
florin|place|A|1|
floriston|place|A|1|
flournoy|place|A|1|
folsom|place|C|5|shares its name with 5 states
fontana|place|B|2|shares its name with 2 states
foothill farms|place|A|1|
forbestown|place|A|1|
ford city|place|B|2|shares its name with 2 states
forest meadows|place|A|1|
forest ranch|place|A|1|
foresta|place|A|1|
foresthill|place|A|1|
forestville|place|C|8|shares its name with 8 states
fort bidwell|place|A|1|
fort bragg|place|A|1|
fort dick|place|A|1|
fort hunter liggett|place|A|1|
fort irwin|place|A|1|
fort jones|place|A|1|
fort washington|place|B|3|shares its name with 3 states
fortuna|place|B|3|shares its name with 3 states
foster city|place|A|1|
fountain valley|place|A|1|
fowler|place|C|6|shares its name with 6 states
franklin|place|C|34|common English word, zipf 4.21
frazier park|place|A|1|
freedom|place|C|4|common English word, zipf 4.86
freeport|place|C|10|shares its name with 10 states
fremont|place|C|13|shares its name with 13 states
french camp|place|B|2|shares its name with 2 states
french gulch|place|A|1|
french valley|place|A|1|
fresno|county|A|1|
fresno|place|B|3|shares its name with 3 states
friant|place|A|1|
fruitdale|place|B|3|shares its name with 3 states
fruitridge pocket|place|A|1|
fuller acres|place|A|1|
fullerton|place|C|4|shares its name with 4 states
fulton|place|C|18|shares its name with 18 states
furnace creek|place|A|1|
galt|place|C|4|shares its name with 4 states
garberville|place|A|1|
garden acres|place|A|1|
garden farms|place|A|1|
garden grove|place|B|3|shares its name with 3 states
gardena|place|B|2|shares its name with 2 states
garey|place|A|1|
garnet|place|A|1|
gasquet|place|A|1|
gazelle|place|A|1|
georgetown|place|C|18|shares its name with 18 states
gerber|place|A|1|
geyserville|place|A|1|
gilroy|place|A|1|
glen ellen|place|A|1|
glencoe|place|C|9|shares its name with 9 states
glendale|place|C|11|shares its name with 11 states
glendora|place|B|3|shares its name with 3 states
glenn|county|A|1|
glennville|place|B|2|shares its name with 2 states
gold mountain|place|A|1|
gold river|place|A|1|
golden hills|place|A|1|
goleta|place|A|1|
gonzales|place|B|3|shares its name with 3 states
good hope|place|C|5|shares its name with 5 states
goodmanville|place|A|1|
goodyears bar|place|A|1|
goshen|place|C|11|shares its name with 11 states
graeagle|place|A|1|
grand terrace|place|A|1|
grangeville|place|B|2|shares its name with 2 states
granite bay|place|A|1|
granite hills|place|A|1|
graniteville|place|B|3|shares its name with 3 states
grass valley|place|B|3|shares its name with 3 states
graton|place|A|1|
grayson|place|C|8|shares its name with 8 states
greeley hill|place|A|1|
green acres|place|B|2|shares its name with 2 states
green valley|place|C|6|shares its name with 6 states
greenacres|place|B|2|shares its name with 2 states
greenfield|place|C|11|shares its name with 11 states
greenhorn|place|B|2|shares its name with 2 states
greenview|place|B|3|shares its name with 3 states
greenville|place|C|25|shares its name with 25 states
grenada|place|B|2|shares its name with 2 states
gridley|place|B|3|shares its name with 3 states
grimes|place|C|4|shares its name with 4 states
grizzly flats|place|A|1|
groveland|place|C|4|shares its name with 4 states
grover beach|place|A|1|
guadalupe|place|C|4|shares its name with 4 states
guerneville|place|A|1|
guinda|place|A|1|
gustine|place|B|2|shares its name with 2 states
hacienda heights|place|A|1|
half moon bay|place|A|1|
hamilton branch|place|A|1|
hamilton city|place|A|1|
hanford|place|A|1|
happy camp|place|A|1|
happy valley|place|C|4|shares its name with 4 states
harbison canyon|place|A|1|
hardwick|place|C|4|shares its name with 4 states
harmony grove|place|A|1|
hartland|place|C|7|shares its name with 7 states
hartley|place|B|3|shares its name with 3 states
hasley canyon|place|A|1|
hat creek|place|A|1|
hathaway pines|place|A|1|
hawaiian gardens|place|A|1|
hawthorne|place|C|5|shares its name with 5 states
hayfork|place|A|1|
hayward|place|C|4|shares its name with 4 states
healdsburg|place|A|1|
heber|place|B|2|shares its name with 2 states
hemet|place|A|1|
herald|place|A|1|
hercules|place|A|1|
herlong|place|A|1|
hermosa beach|place|A|1|
